RID ethnicity income
     11 AA >75000
     51 AA NA
     71 CA >75000
     81 CA >75000
     91 AA 25000-50000
    131 AA <25000
    171 CA 50000-75000
    181 AA >75000
    191 AA >75000
    211 CA >75000
    311 CA >75000
    411 CA 50000-75000
    471 AA 50000-75000
    481 CA >75000
    551 CA >75000
    591 AA 50000-75000
    621 AA >75000
    641 AA 50000-75000
    691 AA NA
    721 CA 50000-75000
    761 AA NA
    811 CA 50000-75000
    851 CA >75000
    921 CA <25000
    951 CA 50000-75000
    991 CA 50000-75000
   1021 CA 50000-75000
   1051 CA >75000
   1091 AA 25000-50000
   1181 CA >75000
   1221 CA >75000
   1251 AA <25000
   1261 CA 50000-75000
   1301 CA >75000
   1341 AA <25000
   1351 CA >75000
   1371 AA >75000
   1391 AA >75000
   1441 CA >75000
   1451 AA <25000
   1501 AA 50000-75000
   1531 AA 50000-75000
   1591 AA <25000
   1641 AA <25000
   1661 CA 50000-75000
   1701 AA NA
   1751 CA >75000
   1791 AA 25000-50000
   1951 CA >75000
   1981 AA 50000-75000
   2041 CA 50000-75000
   2061 AA 50000-75000
   2121 CA >75000
   2171 CA >75000
   2211 CA 50000-75000
   2251 CA >75000
   2281 CA 50000-75000
   2311 CA <25000
   2361 AA >75000
   2381 CA >75000
   2431 CA 50000-75000
   2601 CA >75000
   2631 AA 25000-50000
   2671 AA <25000
   2731 CA 50000-75000
   2781 AA >75000
   2791 AA 50000-75000
   2871 CA 50000-75000
   2891 AA 25000-50000
   2921 CA 50000-75000
   2981 CA >75000
   3001 AA 25000-50000
   3031 CA >75000
   3041 AA 50000-75000
   3081 AA NA
   3121 AA <25000
   3151 AA >75000
   3181 AA 25000-50000
   3201 AA 50000-75000
   3221 CA >75000
   3251 CA >75000
   3341 CA >75000
   3351 AA 50000-75000
   3381 CA >75000
   3411 AA <25000
   3451 AA <25000
   3491 CA >75000
   3521 CA 50000-75000
   3561 CA NA
   3571 AA 25000-50000
   3621 CA >75000
   3701 AA 50000-75000
   3741 AA <25000
   3761 CA 50000-75000
   3791 AA <25000
   3811 AA <25000
   3881 CA >75000
   3891 AA >75000
   3931 AA >75000
   4111 CA 50000-75000
   4121 AA 50000-75000
   4221 AA 50000-75000
   4231 CA 50000-75000
   4281 CA <25000
   4381 AA <25000
   4501 CA 25000-50000
   4511 AA <25000
   4541 CA >75000
   4641 CA >75000
   4751 CA >75000
   4811 AA 50000-75000
   4821 CA <25000
   4831 AA 25000-50000
   4841 AA 25000-50000
   4851 CA >75000
   4861 CA 50000-75000
   4921 CA >75000
   4931 AA NA
   5041 CA >75000
   5061 CA >75000
   5191 CA >75000
   5261 CA >75000
   5271 AA <25000
   5321 CA 25000-50000
   5331 CA >75000
   5411 AA NA
   5441 CA >75000
   5451 CA >75000
   5471 CA >75000
   5501 CA >75000
   5541 AA <25000
   5591 AA 25000-50000
   5661 CA >75000
   5801 AA 25000-50000
   5861 AA >75000
   5881 CA <25000
   5891 CA 50000-75000
   5901 AA >75000
   5921 AA >75000
   5961 AA 25000-50000
   6001 CA 50000-75000
   6021 CA >75000
   6061 CA 50000-75000
   6081 AA <25000
   6101 CA >75000
   6281 CA >75000
   6291 AA NA
   6321 CA 50000-75000
   6391 AA <25000
   6401 CA <25000
   6431 AA 25000-50000
   6441 AA 50000-75000
   6471 CA 50000-75000
   6601 AA <25000
   6611 AA 50000-75000
   6751 CA 50000-75000
   6761 AA 50000-75000
   6931 AA <25000
   6941 AA NA
   6961 CA >75000
   6971 CA 50000-75000
   7001 AA NA
   7081 CA >75000
   7091 AA 25000-50000
   7101 AA 50000-75000
   7261 AA >75000
   7311 CA >75000
   7441 AA 50000-75000
   7451 AA 25000-50000
   7481 AA >75000
   7501 AA 50000-75000
   7531 AA 25000-50000
   7561 AA <25000
   7621 CA >75000
   7731 CA >75000
   7741 AA <25000
   7751 CA >75000
   7811 AA 25000-50000
   7971 CA 25000-50000
   8171 AA <25000
   8181 AA 25000-50000
   8251 AA >75000
   8331 CA >75000
   8391 AA >75000
   8401 CA 50000-75000
   8441 CA >75000
   8481 CA >75000
   8501 AA 25000-50000
   8601 AA 25000-50000
   8641 CA 50000-75000
   8741 CA >75000
   8761 AA >75000
   8831 AA NA
   8851 AA <25000
   8921 CA 50000-75000
   8981 CA >75000
   9001 AA >75000
   9081 AA 50000-75000
   9271 AA <25000
   9391 AA <25000
   9421 AA 50000-75000
   9431 AA <25000
   9441 AA 50000-75000
   9451 CA 50000-75000
   9521 CA 25000-50000
   9551 AA 25000-50000
   9581 CA >75000
   9641 AA >75000
   9701 AA NA
   9731 AA 50000-75000
   9761 AA >75000
   9771 AA 50000-75000
   9821 CA <25000
   9891 AA <25000
   9901 AA 50000-75000
   9971 CA >75000
  10061 CA >75000
  10081 AA <25000
  10091 CA >75000
  10181 AA <25000
  10191 AA NA
  10231 CA 50000-75000
  10241 CA >75000
  10351 CA 50000-75000
  10481 CA >75000
  10551 AA <25000
  10661 AA 50000-75000
  10671 CA >75000
  10681 CA 50000-75000
  10701 AA 50000-75000
  10711 AA >75000
  10731 CA >75000
  10811 CA >75000
  10821 AA 50000-75000
  10931 CA >75000
  10941 AA <25000
  10951 CA >75000
  10961 CA 25000-50000
  10971 CA <25000
  10981 AA 25000-50000
  11031 AA <25000
  11091 CA 25000-50000
  11141 AA 50000-75000
  11161 CA >75000
  11201 AA NA
  11221 AA NA
  11251 AA <25000
  11281 CA >75000
  11291 AA 50000-75000
  11331 AA 25000-50000
  11351 AA <25000
  11371 CA <25000
  11381 AA <25000
  11421 CA 50000-75000
  11451 CA >75000
  11491 CA 50000-75000
  11501 AA >75000
  11541 AA <25000
  11571 AA <25000
  11631 CA 25000-50000
  11911 AA 25000-50000
  11981 AA 25000-50000
  11991 CA 25000-50000
  12071 CA >75000
  12091 CA >75000
  12161 CA 50000-75000
  12201 CA 50000-75000
  12281 AA 25000-50000
  12341 AA >75000
  12361 AA 25000-50000
  12421 AA <25000
  12481 CA 50000-75000
  12561 CA >75000
  12571 CA 50000-75000
  12581 AA >75000
  12681 AA 50000-75000
  12721 CA 25000-50000
  12791 AA <25000
  12851 CA >75000
  12891 CA >75000
  12941 CA 50000-75000
  12971 AA >75000
  13021 AA 50000-75000
  13141 CA 25000-50000
  13171 AA <25000
  13251 AA >75000
  13261 CA NA
  13401 CA 25000-50000
  13461 AA 25000-50000
  13501 AA >75000
  13531 CA 50000-75000
  13551 CA 50000-75000
  13561 CA <25000
  13571 CA 50000-75000
  13701 CA >75000
  13771 CA <25000
  13851 CA 50000-75000
  13871 AA 50000-75000
  13901 CA 50000-75000
  13931 CA <25000
  14001 CA >75000
  14031 AA <25000
  14061 CA 25000-50000
  14091 AA >75000
  14111 CA 50000-75000
  14151 AA >75000
  14231 AA >75000
  14471 CA >75000
  14541 CA >75000
  14591 CA >75000
  14681 CA 50000-75000
  14711 CA 50000-75000
  14781 CA >75000
  14791 AA 25000-50000
  14811 CA >75000
  14821 CA >75000
  14831 CA >75000
  14841 AA <25000
  14911 CA >75000
  14931 AA 50000-75000
  14941 CA >75000
  14951 CA 50000-75000
  14971 CA 25000-50000
  14991 CA 50000-75000
  15101 CA 50000-75000
  15131 AA <25000
  15191 CA >75000
  15221 AA 25000-50000
  15241 CA >75000
  15391 CA <25000
  15451 AA NA
  15571 AA 50000-75000
  15661 AA <25000
  15731 CA 50000-75000
  15741 AA >75000
  15811 AA 25000-50000
  15861 AA 50000-75000
  15881 CA 50000-75000
  15931 AA <25000
  15941 AA >75000
  16001 AA <25000
  16081 AA <25000
  16091 AA 50000-75000
  16171 CA <25000
  16281 CA 25000-50000
  16301 CA >75000
  16321 CA >75000
  16401 CA >75000
  16421 AA 50000-75000
  16501 AA >75000
  16531 AA >75000
  16571 CA >75000
  16701 AA NA
  16711 AA NA
  16721 CA 25000-50000
  16731 CA >75000
  16741 AA 25000-50000
  16831 AA 50000-75000
  17001 CA >75000
  17011 AA 50000-75000
  17101 AA >75000
  17111 AA >75000
  17171 AA 50000-75000
  17201 AA 25000-50000
  17331 CA >75000
  17351 CA >75000
  17361 CA >75000
  17391 CA 50000-75000
  17411 CA NA
  17421 CA >75000
  17431 AA >75000
  17501 AA 50000-75000
  17521 CA 50000-75000
  17621 AA >75000
  17691 CA >75000
  17711 CA >75000
  17741 CA >75000
  17771 CA 50000-75000
  17811 CA >75000
  17821 AA <25000
  17831 CA NA
  17861 CA <25000
  17911 AA 25000-50000
  17961 AA 50000-75000
  18011 CA >75000
  18061 AA <25000
  18141 AA 50000-75000
  18161 CA 50000-75000
  18171 AA 25000-50000
  18281 AA 25000-50000
  18291 CA >75000
  18351 AA <25000
  18441 AA 25000-50000
  18471 AA 25000-50000
  18491 AA 50000-75000
  18561 CA 50000-75000
  18581 AA NA
  18691 AA 25000-50000
  18741 AA <25000
  18751 CA >75000
  18761 CA >75000
  18791 AA NA
  18801 AA NA
  18841 AA <25000
  18881 AA >75000
  18941 AA 25000-50000
  18951 CA >75000
  18971 AA NA
  19141 AA 50000-75000
  19151 AA >75000
  19181 AA 50000-75000
  19281 AA 25000-50000
  19341 CA <25000
  19431 CA <25000
  19441 CA 50000-75000
  19501 CA >75000
  19521 CA >75000
  19611 CA >75000
  19621 AA >75000
  19711 AA 25000-50000
  19741 CA >75000
  19801 CA >75000
  19831 AA >75000
  19861 AA 50000-75000
  19901 AA 50000-75000
  19921 CA 50000-75000
  19951 AA 50000-75000
  20001 CA 50000-75000
  20051 CA 50000-75000
  20131 AA 25000-50000
  20201 CA 25000-50000
  20231 AA >75000
  20281 AA >75000
  20341 CA 50000-75000
  20361 AA 50000-75000
  20421 AA >75000
  20441 AA >75000
  20571 AA <25000
  20601 AA <25000
  20681 AA 50000-75000
  20711 AA <25000
  20731 CA 25000-50000
  20811 AA <25000
  20851 AA >75000
  20891 CA 50000-75000
  20961 CA 50000-75000
  21051 CA 50000-75000
  21081 AA <25000
  21091 AA 50000-75000
  21151 CA 25000-50000
  21171 AA 25000-50000
  21301 CA >75000
  21401 CA 50000-75000
  21511 CA 50000-75000
  21531 CA 50000-75000
  21601 AA >75000
  21631 AA <25000
  21751 AA <25000
  21771 AA 25000-50000
  21871 CA >75000
  21881 AA <25000
  21891 CA 50000-75000
  21941 AA <25000
  21951 AA 50000-75000
